City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
560,Umm Kaddadah,SD,79.12,overcast clouds,13.6017,26.6876,
561,Torit,SS,85.08,broken clouds,4.4133,32.5678,Diplomat Guest House
562,Yulara,AU,69.64,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
564,Bardiyah,LY,69.53,overcast clouds,31.7561,25.0865,بورتو بردية
566,Sao Luiz Gonzaga,BR,88.36,overcast clouds,-28.4083,-54.9608,"Hotel Ipê ""Sob nova Direção"""
568,Labuan,MY,77.36,few clouds,5.2767,115.2417,Tiara Labuan Hotel
571,Ocosingo,MX,60.64,broken clouds,17.0667,-92.25,Chabek lumil
572,Navolato,MX,66.38,broken clouds,24.7672,-107.6944,Cofradía de San pedro Navolato sinaloa
573,Geraldton,AU,63.01,clear sky,-28.7667,114.6,Broadwater Mariner Resort
576,Iracoubo,GF,84.24,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
578,Urubicha,BO,87.8,overcast clouds,-15.3833,-62.95,
