City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
164,Massakory,TD,12.996,15.7293,93.6,12,13,10.76,few clouds,2021-11-23 15:33:51
165,Severomuysk,RU,56.1481,113.4267,-12.84,77,38,0.98,scattered clouds,2021-11-23 15:33:51
166,Ferkessedougou,CI,9.6,-5.2,98.08,12,4,6.31,clear sky,2021-11-23 15:33:51
167,Palmer,US,42.1584,-72.3287,37.69,50,20,5.99,few clouds,2021-11-23 15:33:52
168,Cayenne,GF,4.9333,-52.3333,89.64,79,20,1.99,few clouds,2021-11-23 15:33:52
169,Liman,UA,48.9884,37.8023,33.75,65,100,6.44,overcast clouds,2021-11-23 15:33:52
170,Muroto,JP,33.2833,134.15,53.17,68,59,19.15,broken clouds,2021-11-23 15:33:53
171,Masallatah,LY,32.6167,14.0,67.75,53,50,6.89,scattered clouds,2021-11-23 15:33:53
172,Marsa Matruh,EG,31.3525,27.2453,70.0,64,75,4.61,broken clouds,2021-11-23 15:33:54
173,Alihe,CN,50.5667,123.7167,9.81,70,93,6.42,overcast clouds,2021-11-23 15:33:54
174,Anchorage,US,61.2181,-149.9003,8.64,84,90,0.0,light snow,2021-11-23 15:33:54
175,Mirabad,AF,30.4362,61.8383,65.82,18,5,3.18,clear sky,2021-11-23 15:33:55
176,Longyearbyen,SJ,78.2186,15.6401,4.84,72,20,11.5,few clouds,2021-11-23 15:33:55
177,Marshall,US,34.3834,-86.3333,43.07,66,1,1.99,clear sky,2021-11-23 15:33:56
178,Moa,CU,20.6569,-74.9403,83.25,63,5,8.59,clear sky,2021-11-23 15:33:56
179,Okhotsk,RU,59.3833,143.3,2.64,85,100,14.38,overcast clouds,2021-11-23 15:33:56
180,Sao Filipe,CV,14.8961,-24.4956,81.36,64,54,6.13,broken clouds,2021-11-23 15:33:57
181,Arenapolis,BR,-14.4503,-56.8461,90.84,56,90,3.15,overcast clouds,2021-11-23 15:33:57
182,Saskylakh,RU,71.9167,114.0833,-26.46,97,10,10.74,clear sky,2021-11-23 15:33:57
183,Thompson,CA,55.7435,-97.8558,-0.24,85,90,11.5,light snow,2021-11-23 15:33:58
184,Mayo,US,38.8876,-76.5119,42.57,53,1,14.0,clear sky,2021-11-23 15:33:58
185,Jalu,LY,29.0331,21.5482,72.28,28,80,8.63,broken clouds,2021-11-23 15:33:59
186,Cap Malheureux,MU,-19.9842,57.6142,79.29,84,53,11.1,light rain,2021-11-23 15:33:59
187,Milkovo,RU,54.7167,158.6167,17.51,96,100,3.42,overcast clouds,2021-11-23 15:33:59
188,Xucheng,CN,20.35,110.1288,66.9,67,50,9.1,scattered clouds,2021-11-23 15:34:00
189,Ndele,CF,8.4109,20.6473,85.35,27,29,4.74,scattered clouds,2021-11-23 15:34:00
190,Sandpoint,US,48.2766,-116.5533,35.69,94,90,4.61,snow,2021-11-23 15:34:00
191,Ipueiras,BR,-7.0333,-40.45,94.6,28,99,6.46,overcast clouds,2021-11-23 15:34:01
192,Lasa,IT,46.6166,10.7002,43.02,88,13,2.98,few clouds,2021-11-23 15:34:01
193,Kaoma,ZM,-14.7833,24.8,79.36,50,96,3.94,overcast clouds,2021-11-23 15:34:02
194,The Valley,AI,18.217,-63.0578,85.86,69,20,11.5,few clouds,2021-11-23 15:34:02
195,Asau,RO,46.4333,26.4,37.76,96,100,1.34,overcast clouds,2021-11-23 15:33:55
196,Port Blair,IN,11.6667,92.75,81.25,82,99,9.44,overcast clouds,2021-11-23 15:34:03
197,Yarmouth,US,41.7057,-70.2286,41.09,69,90,12.66,overcast clouds,2021-11-23 15:34:04
198,Nishihara,JP,26.1842,127.7558,65.48,55,40,12.66,scattered clouds,2021-11-23 15:34:04
199,Fereydun Kenar,IR,36.6864,52.5225,55.71,75,0,7.7,clear sky,2021-11-23 15:34:04
200,Bobigny,FR,48.9066,2.4513,48.25,64,0,7.0,clear sky,2021-11-23 15:34:04
201,Portage,US,41.1667,-81.1998,34.32,61,1,10.36,clear sky,2021-11-23 15:31:54
202,Anadyr,RU,64.75,177.4833,-14.3,76,0,11.18,clear sky,2021-11-23 15:34:05
203,Tereze,RU,43.9361,42.4434,36.1,54,70,4.25,broken clouds,2021-11-23 15:34:06
204,Port Elizabeth,ZA,-33.918,25.5701,65.1,63,20,16.11,few clouds,2021-11-23 15:34:06
205,Guanica,PR,17.9716,-66.908,87.26,68,57,8.01,broken clouds,2021-11-23 15:34:06
206,Kastamonu,TR,41.5,33.6667,49.37,62,100,2.06,overcast clouds,2021-11-23 15:34:07
207,Bud,US,39.447,-86.1758,35.06,57,10,5.03,clear sky,2021-11-23 15:34:07
208,Rawson,AR,-43.3002,-65.1023,78.94,29,91,28.01,overcast clouds,2021-11-23 15:34:07
209,Teknaf,BD,20.8624,92.3058,73.69,71,2,6.55,clear sky,2021-11-23 15:34:08
210,Pangnirtung,CA,66.1451,-65.7125,28.4,50,90,25.32,overcast clouds,2021-11-23 15:34:08
211,San Andres,CO,12.5847,-81.7006,84.22,70,75,9.22,broken clouds,2021-11-23 15:32:58
212,Sinnamary,GF,5.3833,-52.95,83.88,70,99,8.68,overcast clouds,2021-11-23 15:34:09
213,Srednekolymsk,RU,67.45,153.6833,-30.44,100,66,5.08,broken clouds,2021-11-23 15:34:09
214,Yongchang,CN,30.0381,119.7317,38.57,66,2,2.33,clear sky,2021-11-23 15:34:09
215,Hambantota,LK,6.1241,81.1185,79.14,94,40,3.44,moderate rain,2021-11-23 15:34:10
216,Bourges,FR,47.25,2.4167,44.92,56,3,14.83,clear sky,2021-11-23 15:34:10
217,Ust-Nera,RU,64.5667,143.2,-18.87,95,100,1.01,overcast clouds,2021-11-23 15:34:10
218,Papara,BR,-3.9839,-38.7273,86.4,34,10,13.11,clear sky,2021-11-23 15:34:11
219,La Ronge,CA,55.1001,-105.2842,19.65,86,90,2.3,light snow,2021-11-23 15:34:11
220,Cidreira,BR,-30.1811,-50.2056,73.24,60,39,15.73,scattered clouds,2021-11-23 15:34:11
221,Mahebourg,MU,-20.4081,57.7,79.09,69,40,6.91,scattered clouds,2021-11-23 15:34:12
222,Flinders,AU,-34.5833,150.8552,66.2,87,100,1.01,overcast clouds,2021-11-23 15:34:12
223,Aksarka,RU,66.5606,67.7975,10.58,96,100,8.63,light snow,2021-11-23 15:34:12
224,Umba,RU,66.6871,34.3429,17.64,87,82,4.41,broken clouds,2021-11-23 15:34:13
225,Otradnyy,RU,53.376,51.3452,9.43,97,88,3.69,overcast clouds,2021-11-23 15:34:13
226,Kjollefjord,NO,70.9457,27.3465,20.98,84,100,20.22,overcast clouds,2021-11-23 15:34:13
227,Atar,MR,20.5169,-13.0499,93.9,19,83,7.07,broken clouds,2021-11-23 15:34:14
228,Codrington,AU,-38.2667,141.9667,57.0,96,100,2.93,overcast clouds,2021-11-23 15:34:14
229,Kavieng,PG,-2.5744,150.7967,82.38,78,99,15.77,moderate rain,2021-11-23 15:34:15
230,Tura,IN,25.5198,90.2201,62.04,67,0,3.6,clear sky,2021-11-23 15:34:15
231,Ust-Kut,RU,56.7938,105.7672,12.69,99,99,3.4,overcast clouds,2021-11-23 15:34:15
232,Mount Gambier,AU,-37.8333,140.7667,53.51,94,90,0.0,overcast clouds,2021-11-23 15:34:16
233,Lavrentiya,RU,65.5833,-171.0,-0.69,91,13,9.93,few clouds,2021-11-23 15:34:16
234,Hobyo,SO,5.3505,48.5268,81.32,69,37,11.59,scattered clouds,2021-11-23 15:34:01
235,Mishan,CN,45.55,131.8833,15.42,75,100,22.24,overcast clouds,2021-11-23 15:34:16
236,Novosergiyevka,RU,52.0934,53.6528,10.67,97,100,2.59,overcast clouds,2021-11-23 15:34:17
237,Vardo,NO,70.3705,31.1107,21.18,73,0,5.75,clear sky,2021-11-23 15:34:17
238,Coihaique,CL,-45.5752,-72.0662,65.01,55,75,4.61,broken clouds,2021-11-23 15:34:17
239,Vestmannaeyjar,IS,63.4427,-20.2734,36.59,80,75,10.36,shower rain,2021-11-23 15:34:18
240,Seybaplaya,MX,19.65,-90.6667,78.26,59,1,6.76,clear sky,2021-11-23 15:34:18
241,Coquimbo,CL,-29.9533,-71.3436,60.53,77,90,9.22,overcast clouds,2021-11-23 15:34:09
242,Limbazi,LV,57.5129,24.7194,33.03,73,100,6.96,overcast clouds,2021-11-23 15:34:19
243,Ngunguru,NZ,-35.6167,174.5,61.16,87,100,8.19,overcast clouds,2021-11-23 15:34:19
244,Pirovskoye,RU,57.6267,92.2658,29.77,95,100,11.81,light snow,2021-11-23 15:34:19
245,Requena,ES,39.4883,-1.1004,53.69,56,5,12.39,clear sky,2021-11-23 15:34:20
246,Balclutha,NZ,-46.2339,169.75,42.44,99,49,3.58,scattered clouds,2021-11-23 15:34:20
247,Puerto Escondido,MX,15.85,-97.0667,83.23,69,1,9.22,clear sky,2021-11-23 15:34:20
248,Doha,QA,25.2867,51.5333,80.91,69,0,10.36,clear sky,2021-11-23 15:34:21
249,Bukama,CD,-9.2,25.85,83.34,59,39,3.89,scattered clouds,2021-11-23 15:34:21
250,Matara,LK,5.9485,80.5353,77.59,88,100,3.02,heavy intensity rain,2021-11-23 15:34:21
251,Svobodnyy,RU,51.4,128.1333,24.13,70,100,23.17,overcast clouds,2021-11-23 15:34:22
252,Malanje,AO,-9.5402,16.341,75.4,72,42,3.2,light rain,2021-11-23 15:34:22
253,Whyalla,AU,-33.0333,137.5833,66.09,88,90,2.3,moderate rain,2021-11-23 15:34:23
254,Mattawa,US,46.7379,-119.9028,36.1,90,100,4.12,overcast clouds,2021-11-23 15:30:50
255,Kamiiso,JP,41.8167,140.65,36.75,67,100,17.4,overcast clouds,2021-11-23 15:34:23
256,Guarapari,BR,-20.6667,-40.4975,82.29,75,67,6.69,broken clouds,2021-11-23 15:34:24
257,Rampur Hat,IN,24.1667,87.7833,71.08,39,0,6.73,clear sky,2021-11-23 15:34:24
258,Amudat,UG,1.95,34.95,80.87,29,55,13.33,broken clouds,2021-11-23 15:34:24
259,Sitka,US,57.0531,-135.33,35.49,87,90,10.36,light snow,2021-11-23 15:33:09
